Mesh,z,x,y,r,T,Vol
0,1,-0.00106408225838095,-0.00208837998798117,0.00234384343052204,293.313995361328,1.10426827050311e-11
0,1,-0.000990395259577781,-0.00228866998804733,0.00249377085643062,293.230987548828,1.17500368232046e-11
0,1,-0.000930853246245533,-0.00215107249096036,0.00234384313199759,293.313995361328,1.10434444634501e-11
0,1,-0.000844733993289992,-0.00234634248772636,0.00249377196012979,293.230987548828,1.1749905587723e-11
0,1,-0.000793948493083008,-0.00220527750207111,0.00234384365323496,293.313995361328,1.10435304493879e-11
0,1,-0.000695739494403824,-0.00239475246053189,0.00249377079766703,293.230987548828,1.17497567890148e-11
0,1,-0.000653911512927152,-0.0022507774992846,0.00234384291667008,293.313995361328,1.10433308252932e-11
0,1,-0.00054399899818236,-0.00243371247779578,0.00249377050560036,293.230987548828,1.17497341906738e-11
0,1,-0.000511293757881504,-0.00228739500744268,0.00234384240658844,293.313995361328,1.10437032646933e-11
0,1,-0.000390111250453629,-0.00246306753251702,0.0024937699287364,293.230987548828,1.17492814150892e-11
0,1,-0.000366657754057087,-0.00231498753419146,0.00234384410575278,293.313995361328,1.10437122595882e-11
0,1,-0.000234684252063744,-0.00248269998701289,0.00249376741571473,293.230987548828,1.17496018629164e-11
0,1,-0.000220574755076086,-0.0023334400029853,0.00234384203181633,293.313995361328,1.104322655006e-11
0,1,-7.83312498242593e-05,-0.0024925374891609,0.00249376801639036,293.230987548828,1.17499446297597e-11
0,1,-7.36217516532627e-05,-0.00234268500935286,0.00234384155082273,293.313995361328,1.104314710983e-11
0,1,7.83312498242596e-05,-0.0024925374891609,0.00249376801639036,293.230987548828,1.17499446297597e-11
0,1,7.3621751653264e-05,-0.00234268500935286,0.00234384155082273,293.313995361328,1.10431471098298e-11
0,1,0.000234684252063744,-0.00248269998701289,0.00249376741571473,293.230987548828,1.17496018629164e-11
0,1,0.000220574755076086,-0.0023334400029853,0.00234384203181633,293.313995361328,1.104322655006e-11
0,1,0.000390111250453629,-0.00246306753251702,0.0024937699287364,293.230987548828,1.17492814150892e-11
0,1,0.000366657754057087,-0.00231498753419146,0.00234384410575278,293.313995361328,1.10437122595882e-11
0,1,0.00054399899818236,-0.00243371247779578,0.00249377050560036,293.230987548828,1.17497341906738e-11
0,1,0.000511293757881504,-0.00228739500744268,0.00234384240658844,293.313995361328,1.10437032646933e-11
0,1,0.000695739494403824,-0.00239475246053189,0.00249377079766703,293.230987548828,1.17497567890148e-11
0,1,0.000653911512927152,-0.0022507774992846,0.00234384291667008,293.313995361328,1.10433308252932e-11
0,1,0.000844733993289992,-0.00234634248772636,0.00249377196012979,293.230987548828,1.1749905587723e-11
0,1,0.000793948493083008,-0.00220527750207111,0.00234384365323496,293.313995361328,1.10435304493879e-11
0,1,0.000990395259577781,-0.00228866998804733,0.00249377085643062,293.230987548828,1.17500368232046e-11
0,1,0.000930853246245533,-0.00215107249096036,0.00234384313199759,293.313995361328,1.10434444634501e-11
0,1,0.00113214750308543,-0.00222196499817073,0.00249376952059296,293.230987548828,1.17500363998127e-11
0,1,0.00106408225838095,-0.00208837998798117,0.00234384343052204,293.313995361328,1.10426827050311e-11
0,1,0.00126942998031154,-0.00214648997643963,0.00249376656763811,293.230987548828,1.17498783479013e-11
0,1,0.0011931124900002,-0.00201744248624891,0.00234384120603693,293.313995361328,1.10434155187306e-11
0,1,0.00140170499798842,-0.00206254498334602,0.00249376596931459,293.230987548828,1.1749790696673e-11
0,1,0.0013174350024201,-0.00193854499957524,0.00234384122776689,293.313995361328,1.10428879832584e-11
0,1,0.00152844999684021,-0.00197046250104904,0.00249376860612232,293.230987548828,1.17496674152229e-11
0,1,0.00143655750434846,-0.00185200001578778,0.00234384332278798,293.313995361328,1.10432891001691e-11
0,1,0.00164915999630466,-0.00187060251482762,0.00249376872662463,293.230987548828,1.17499735640539e-11
0,1,0.00155000999802724,-0.00175814251997508,0.00234384216928716,293.313995361328,1.1043010224184e-11
0,1,0.00176336002186872,-0.00176336002186872,0.00249376765827326,293.230987548828,1.17502163042324e-11
0,1,0.00165734501206316,-0.00165734501206316,0.00234383979359112,293.313995361328,1.10430907212796e-11
0,1,0.00187060251482762,-0.00164915999630466,0.00249376872662463,293.230987548828,1.17499735640539e-11
0,1,0.00175814251997508,-0.00155000999802724,0.00234384216928716,293.313995361328,1.1043010224184e-11
0,1,0.00197046250104904,-0.00152844999684021,0.00249376860612232,293.230987548828,1.17496674152229e-11
0,1,0.00185200001578778,-0.00143655750434846,0.00234384332278798,293.313995361328,1.10432891001691e-11
0,1,0.00206254498334602,-0.00140170499798842,0.00249376596931459,293.230987548828,1.1749790696673e-11
0,1,0.00193854499957524,-0.0013174350024201,0.00234384122776689,293.313995361328,1.10428879832584e-11
0,1,0.00214648997643963,-0.00126942998031154,0.00249376656763811,293.230987548828,1.17498783479013e-11
0,1,0.00201744248624891,-0.0011931124900002,0.00234384120603693,293.313995361328,1.10434155187306e-11
0,1,0.00222196499817073,-0.00113214750308543,0.00249376952059296,293.230987548828,1.17500363998127e-11
0,1,0.00208837998798117,-0.00106408225838095,0.00234384343052204,293.313995361328,1.10426827050311e-11
0,1,0.00228866998804733,-0.000990395259577781,0.00249377085643062,293.230987548828,1.17500368232046e-11
0,1,0.00215107249096036,-0.000930853246245533,0.00234384313199759,293.313995361328,1.10434444634501e-11
0,1,0.00234634248772636,-0.000844733993289992,0.00249377196012979,293.230987548828,1.1749905587723e-11
0,1,0.00220527750207111,-0.000793948493083008,0.00234384365323496,293.313995361328,1.10435304493879e-11
0,1,0.00239475246053189,-0.000695739494403824,0.00249377079766703,293.230987548828,1.17497567890148e-11
0,1,0.0022507774992846,-0.000653911512927152,0.00234384291667008,293.313995361328,1.10433308252932e-11
0,1,0.00243371247779578,-0.00054399899818236,0.00249377050560036,293.230987548828,1.17497341906738e-11
0,1,0.00228739500744268,-0.000511293757881504,0.00234384240658844,293.313995361328,1.10437032646933e-11
0,1,0.00246306753251702,-0.000390111250453629,0.0024937699287364,293.230987548828,1.17492814150892e-11
0,1,0.00231498753419146,-0.000366657754057087,0.00234384410575278,293.313995361328,1.10437122595882e-11
0,1,0.00248269998701289,-0.000234684252063744,0.00249376741571473,293.230987548828,1.17496018629164e-11
0,1,0.0023334400029853,-0.000220574755076086,0.00234384203181633,293.313995361328,1.104322655006e-11
0,1,0.0024925374891609,-7.83312498242593e-05,0.00249376801639036,293.230987548828,1.17499446297597e-11
0,1,0.00234268500935286,-7.36217516532627e-05,0.00234384155082273,293.313995361328,1.104314710983e-11
0,1,0.0024925374891609,7.83312498242595e-05,0.00249376801639036,293.230987548828,1.17499446297597e-11
0,1,0.00234268500935286,7.3621751653264e-05,0.00234384155082273,293.313995361328,1.10431471098298e-11
0,1,0.00248269998701289,0.000234684252063744,0.00249376741571473,293.230987548828,1.17496018629164e-11
0,1,0.0023334400029853,0.000220574755076086,0.00234384203181633,293.313995361328,1.104322655006e-11
0,1,0.00246306753251702,0.000390111250453629,0.0024937699287364,293.230987548828,1.17492814150892e-11
0,1,0.00231498753419146,0.000366657754057087,0.00234384410575278,293.313995361328,1.10437122595882e-11
0,1,0.00243371247779578,0.00054399899818236,0.00249377050560036,293.230987548828,1.17497341906738e-11
0,1,0.00228739500744268,0.000511293757881504,0.00234384240658844,293.313995361328,1.10437032646933e-11
0,1,0.00239475246053189,0.000695739494403824,0.00249377079766703,293.230987548828,1.17497567890148e-11
0,1,0.0022507774992846,0.000653911512927152,0.00234384291667008,293.313995361328,1.10433308252932e-11
0,1,0.00234634248772636,0.000844733993289992,0.00249377196012979,293.230987548828,1.1749905587723e-11
0,1,0.00220527750207111,0.000793948493083008,0.00234384365323496,293.313995361328,1.10435304493879e-11
0,1,0.00228866998804733,0.000990395259577781,0.00249377085643062,293.230987548828,1.17500368232046e-11
0,1,0.00215107249096036,0.000930853246245533,0.00234384313199759,293.313995361328,1.10434444634501e-11
0,1,0.00222196499817073,0.00113214750308543,0.00249376952059296,293.230987548828,1.17500363998127e-11
0,1,0.00208837998798117,0.00106408225838095,0.00234384343052204,293.313995361328,1.10426827050311e-11
0,1,0.00214648997643963,0.00126942998031154,0.00249376656763811,293.230987548828,1.17498783479013e-11
0,1,0.00201744248624891,0.0011931124900002,0.00234384120603693,293.313995361328,1.10434155187306e-11
0,1,0.00206254498334602,0.00140170499798842,0.00249376596931459,293.230987548828,1.1749790696673e-11
0,1,0.00193854499957524,0.0013174350024201,0.00234384122776689,293.313995361328,1.10428879832584e-11
0,1,0.00197046250104904,0.00152844999684021,0.00249376860612232,293.230987548828,1.17496674152229e-11
0,1,0.00185200001578778,0.00143655750434846,0.00234384332278798,293.313995361328,1.10432891001691e-11
0,1,0.00187060251482762,0.00164915999630466,0.00249376872662463,293.230987548828,1.17499735640539e-11
0,1,0.00175814251997508,0.00155000999802724,0.00234384216928716,293.313995361328,1.1043010224184e-11
0,1,0.00176336002186872,0.00176336002186872,0.00249376765827326,293.230987548828,1.17502163042324e-11
0,1,0.00165734501206316,0.00165734501206316,0.00234383979359112,293.313995361328,1.10430907212796e-11
0,1,0.00164915999630466,0.00187060251482762,0.00249376872662463,293.230987548828,1.17499735640539e-11
0,1,0.00155000999802724,0.00175814251997508,0.00234384216928716,293.313995361328,1.1043010224184e-11
0,1,0.00152844999684021,0.00197046250104904,0.00249376860612232,293.230987548828,1.17496674152229e-11
0,1,0.00143655750434846,0.00185200001578778,0.00234384332278798,293.313995361328,1.10432891001691e-11
0,1,0.00140170499798842,0.00206254498334602,0.00249376596931459,293.230987548828,1.1749790696673e-11
0,1,0.0013174350024201,0.00193854499957524,0.00234384122776689,293.313995361328,1.10428879832584e-11
0,1,0.00126942998031154,0.00214648997643963,0.00249376656763811,293.230987548828,1.17498783479013e-11
0,1,0.0011931124900002,0.00201744248624891,0.00234384120603693,293.313995361328,1.10434155187306e-11
0,1,0.00113214750308543,0.00222196499817073,0.00249376952059296,293.230987548828,1.17500363998127e-11
0,1,0.00106408225838095,0.00208837998798117,0.00234384343052204,293.313995361328,1.10426827050311e-11
0,1,0.000990395259577781,0.00228866998804733,0.00249377085643062,293.230987548828,1.17500368232046e-11
0,1,0.000930853246245533,0.00215107249096036,0.00234384313199759,293.313995361328,1.10434444634501e-11
0,1,0.000844733993289992,0.00234634248772636,0.00249377196012979,293.230987548828,1.1749905587723e-11
0,1,0.000793948493083008,0.00220527750207111,0.00234384365323496,293.313995361328,1.10435304493879e-11
0,1,0.000695739494403824,0.00239475246053189,0.00249377079766703,293.230987548828,1.17497567890148e-11
0,1,0.000653911512927152,0.0022507774992846,0.00234384291667008,293.313995361328,1.10433308252932e-11
0,1,0.00054399899818236,0.00243371247779578,0.00249377050560036,293.230987548828,1.17497341906738e-11
0,1,0.000511293757881504,0.00228739500744268,0.00234384240658844,293.313995361328,1.10437032646933e-11
0,1,0.000390111250453629,0.00246306753251702,0.0024937699287364,293.230987548828,1.17492814150892e-11
0,1,0.000366657754057087,0.00231498753419146,0.00234384410575278,293.313995361328,1.10437122595882e-11
0,1,0.000234684252063744,0.00248269998701289,0.00249376741571473,293.230987548828,1.17496018629164e-11
0,1,0.000220574755076086,0.0023334400029853,0.00234384203181633,293.313995361328,1.104322655006e-11
0,1,7.83312498242603e-05,0.0024925374891609,0.00249376801639036,293.230987548828,1.17499446297596e-11
0,1,7.36217516532636e-05,0.00234268500935286,0.00234384155082273,293.313995361328,1.10431471098298e-11
0,1,-7.83312498242586e-05,0.0024925374891609,0.00249376801639036,293.230987548828,1.17499446297598e-11
0,1,-7.36217516532631e-05,0.00234268500935286,0.00234384155082273,293.313995361328,1.10431471098299e-11
0,1,-0.000234684252063744,0.00248269998701289,0.00249376741571473,293.230987548828,1.17496018629164e-11
0,1,-0.000220574755076086,0.0023334400029853,0.00234384203181633,293.313995361328,1.104322655006e-11
0,1,-0.000390111250453629,0.00246306753251702,0.0024937699287364,293.230987548828,1.17492814150892e-11
0,1,-0.000366657754057087,0.00231498753419146,0.00234384410575278,293.313995361328,1.10437122595882e-11
0,1,-0.00054399899818236,0.00243371247779578,0.00249377050560036,293.230987548828,1.17497341906738e-11
0,1,-0.000511293757881504,0.00228739500744268,0.00234384240658844,293.313995361328,1.10437032646933e-11
0,1,-0.000695739494403824,0.00239475246053189,0.00249377079766703,293.230987548828,1.17497567890148e-11
0,1,-0.000653911512927152,0.0022507774992846,0.00234384291667008,293.313995361328,1.10433308252932e-11
0,1,-0.000844733993289992,0.00234634248772636,0.00249377196012979,293.230987548828,1.1749905587723e-11
0,1,-0.000793948493083008,0.00220527750207111,0.00234384365323496,293.313995361328,1.10435304493879e-11
0,1,-0.000990395259577781,0.00228866998804733,0.00249377085643062,293.230987548828,1.17500368232046e-11
0,1,-0.000930853246245533,0.00215107249096036,0.00234384313199759,293.313995361328,1.10434444634501e-11
0,1,-0.00113214750308543,0.00222196499817073,0.00249376952059296,293.230987548828,1.17500363998127e-11
0,1,-0.00106408225838095,0.00208837998798117,0.00234384343052204,293.313995361328,1.10426827050311e-11
0,1,-0.00126942998031154,0.00214648997643963,0.00249376656763811,293.230987548828,1.17498783479013e-11
0,1,-0.0011931124900002,0.00201744248624891,0.00234384120603693,293.313995361328,1.10434155187306e-11
0,1,-0.00140170499798842,0.00206254498334602,0.00249376596931459,293.230987548828,1.1749790696673e-11
0,1,-0.0013174350024201,0.00193854499957524,0.00234384122776689,293.313995361328,1.10428879832584e-11
0,1,-0.00152844999684021,0.00197046250104904,0.00249376860612232,293.230987548828,1.17496674152229e-11
0,1,-0.00143655750434846,0.00185200001578778,0.00234384332278798,293.313995361328,1.10432891001691e-11
0,1,-0.00164915999630466,0.00187060251482762,0.00249376872662463,293.230987548828,1.17499735640539e-11
0,1,-0.00155000999802724,0.00175814251997508,0.00234384216928716,293.313995361328,1.1043010224184e-11
0,1,-0.00176336002186872,0.00176336002186872,0.00249376765827326,293.230987548828,1.17502163042324e-11
0,1,-0.00165734501206316,0.00165734501206316,0.00234383979359112,293.313995361328,1.10430907212796e-11
0,1,-0.00187060251482762,0.00164915999630466,0.00249376872662463,293.230987548828,1.17499735640539e-11
0,1,-0.00175814251997508,0.00155000999802724,0.00234384216928716,293.313995361328,1.1043010224184e-11
0,1,-0.00197046250104904,0.00152844999684021,0.00249376860612232,293.230987548828,1.17496674152229e-11
0,1,-0.00185200001578778,0.00143655750434846,0.00234384332278798,293.313995361328,1.10432891001691e-11
0,1,-0.00206254498334602,0.00140170499798842,0.00249376596931459,293.230987548828,1.1749790696673e-11
0,1,-0.00193854499957524,0.0013174350024201,0.00234384122776689,293.313995361328,1.10428879832584e-11
0,1,-0.00214648997643963,0.00126942998031154,0.00249376656763811,293.230987548828,1.17498783479013e-11
0,1,-0.00201744248624891,0.0011931124900002,0.00234384120603693,293.313995361328,1.10434155187306e-11
0,1,-0.00222196499817073,0.00113214750308543,0.00249376952059296,293.230987548828,1.17500363998127e-11
0,1,-0.00208837998798117,0.00106408225838095,0.00234384343052204,293.313995361328,1.10426827050311e-11
0,1,-0.00228866998804733,0.000990395259577781,0.00249377085643062,293.230987548828,1.17500368232046e-11
0,1,-0.00215107249096036,0.000930853246245533,0.00234384313199759,293.313995361328,1.10434444634501e-11
0,1,-0.00234634248772636,0.000844733993289992,0.00249377196012979,293.230987548828,1.1749905587723e-11
0,1,-0.00220527750207111,0.000793948493083008,0.00234384365323496,293.313995361328,1.10435304493879e-11
0,1,-0.00239475246053189,0.000695739494403824,0.00249377079766703,293.230987548828,1.17497567890148e-11
0,1,-0.0022507774992846,0.000653911512927152,0.00234384291667008,293.313995361328,1.10433308252932e-11
0,1,-0.00243371247779578,0.00054399899818236,0.00249377050560036,293.230987548828,1.17497341906738e-11
0,1,-0.00228739500744268,0.000511293757881504,0.00234384240658844,293.313995361328,1.10437032646933e-11
0,1,-0.00246306753251702,0.000390111250453629,0.0024937699287364,293.230987548828,1.17492814150892e-11
0,1,-0.00231498753419146,0.000366657754057087,0.00234384410575278,293.313995361328,1.10437122595882e-11
0,1,-0.00248269998701289,0.000234684252063744,0.00249376741571473,293.230987548828,1.17496018629164e-11
0,1,-0.0023334400029853,0.000220574755076086,0.00234384203181633,293.313995361328,1.104322655006e-11
0,1,-0.0024925374891609,7.83312498242594e-05,0.00249376801639036,293.230987548828,1.17499446297597e-11
0,1,-0.00234268500935286,7.36217516532634e-05,0.00234384155082273,293.313995361328,1.10431471098299e-11
1,1,0.00230692996410653,-3.62401497113744e-05,0.00230721459941282,293.316009521484,1.35896081068379e-12
1,1,0.00230465247295797,-0.000108684651422664,0.00230721376871892,293.316009521484,1.35894414945442e-12
1,1,0.00230010249651968,-0.000181022001925157,0.00230721487072121,293.316009521484,1.35890935866058e-12
1,1,0.00229328247951344,-0.000253180500294548,0.00230721583224732,293.316009521484,1.35892871657559e-12
